ID,Movie Name,Rating,runtime_minutes,Runtime,Genre,Metascore,Plot,Directors,Stars,Votes,Gross,Link,Votes Percent Rank,Rating Percent Rank,Significance Score
5790,War of the Worlds,6.5,116,116 min,"Action, Adventure, Sci-Fi",73,An alien invasion threatens the future of humanity. The catastrophic nightmare is depicted through the eyes of one American family fighting for survival.,"['Steven Spielberg', 'Tom Cruise', 'Dakota Fanning', 'Tim Robbins', 'Miranda Otto']","['Tom Cruise', 'Dakota Fanning', 'Tim Robbins', 'Miranda Otto']",460258,234280354,https://www.imdb.com/title/tt0407304/,0.966,0.385,1.351
6158,The Day After Tomorrow,6.4,124,124 min,"Action, Adventure, Sci-Fi",47,"Jack Hall, paleoclimatologist, must make a daring trek from Washington, D.C. to New York City to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age.","['Roland Emmerich', 'Dennis Quaid', 'Jake Gyllenhaal', 'Emmy Rossum', 'Dash Mihok']","['Dennis Quaid', 'Jake Gyllenhaal', 'Emmy Rossum', 'Dash Mihok']",460699,186740799,https://www.imdb.com/title/tt0319262/,0.966,0.344,1.31
7364,Justice League,6.1,120,120 min,"Action, Adventure, Fantasy",45,"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy.","['Zack Snyder', 'Ben Affleck', 'Gal Gadot', 'Jason Momoa', 'Ezra Miller']","['Ben Affleck', 'Gal Gadot', 'Jason Momoa', 'Ezra Miller']",463976,229024295,https://www.imdb.com/title/tt0974015/,0.966,0.229,1.195
5387,Elysium,6.6,109,109 min,"Action, Drama, Sci-Fi",61,"In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds.","['Neill Blomkamp', 'Matt Damon', 'Jodie Foster', 'Sharlto Copley', 'Alice Braga']","['Matt Damon', 'Jodie Foster', 'Sharlto Copley', 'Alice Braga']",458151,93050117,https://www.imdb.com/title/tt1535108/,0.965,0.426,1.391
5366,Quantum of Solace,6.6,106,106 min,"Action, Adventure, Mystery",58,James Bond descends into mystery as he tries to stop a mysterious organisation from eliminating a country's most valuable resource.,"['Marc Forster', 'Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric', 'Judi Dench']","['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric', 'Judi Dench']",458408,168368427,https://www.imdb.com/title/tt0830515/,0.965,0.426,1.391
5402,The Da Vinci Code,6.6,149,149 min,"Mystery, Thriller",46,"A murder inside the Louvre, and clues in Da Vinci paintings, lead to the discovery of a religious mystery protected by a secret society for two thousand years, which could shake the foundations of Christianity.","['Ron Howard', 'Tom Hanks', 'Audrey Tautou', 'Jean Reno', 'Ian McKellen']","['Tom Hanks', 'Audrey Tautou', 'Jean Reno', 'Ian McKellen']",444514,217536138,https://www.imdb.com/title/tt0382625/,0.964,0.426,1.39
4904,Armageddon,6.7,151,151 min,"Action, Adventure, Sci-Fi",42,"After discovering that an asteroid the size of Texas will impact Earth in less than a month, NASA recruits a misfit team of deep-core drillers to save the planet.","['Michael Bay', 'Bruce Willis', 'Billy Bob Thornton', 'Ben Affleck', 'Liv Tyler']","['Bruce Willis', 'Billy Bob Thornton', 'Ben Affleck', 'Liv Tyler']",436943,201573391,https://www.imdb.com/title/tt0120591/,0.963,0.469,1.432
5774,The Lost World: Jurassic Park,6.5,129,129 min,"Action, Adventure, Sci-Fi",59,"A research team is sent to the Jurassic Park Site B island to study the dinosaurs there, while an InGen team approaches with another agenda.","['Steven Spielberg', 'Jeff Goldblum', 'Julianne Moore', 'Pete Postlethwaite', 'Vince Vaughn']","['Jeff Goldblum', 'Julianne Moore', 'Pete Postlethwaite', 'Vince Vaughn']",429406,229086679,https://www.imdb.com/title/tt0119567/,0.962,0.385,1.347
4884,In Time,6.7,109,109 min,"Action, Sci-Fi, Thriller",53,"In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system.","['Andrew Niccol', 'Justin Timberlake', 'Amanda Seyfried', 'Cillian Murphy', 'Olivia Wilde']","['Justin Timberlake', 'Amanda Seyfried', 'Cillian Murphy', 'Olivia Wilde']",424082,37520095,https://www.imdb.com/title/tt1637688/,0.961,0.469,1.43
6183,Godzilla,6.4,123,123 min,"Action, Adventure, Sci-Fi",62,"The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity.","['Gareth Edwards', 'Aaron Taylor-Johnson', 'Elizabeth Olsen', 'Bryan Cranston', 'Ken Watanabe']","['Aaron Taylor-Johnson', 'Elizabeth Olsen', 'Bryan Cranston', 'Ken Watanabe']",423646,200676069,https://www.imdb.com/title/tt0831387/,0.961,0.344,1.305
